study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,references,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2_looptype.thisRepN,trials_2_looptype.thisTrialN,trials_2_looptype.thisN,trials_2_looptype.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,StudyText.stopped,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2_looptype.test_textbox.text,trials_2_looptype.testmouse.x,trials_2_looptype.testmouse.y,trials_2_looptype.testmouse.leftButton,trials_2_looptype.testmouse.midButton,trials_2_looptype.testmouse.rightButton,trials_2_looptype.testmouse.time,trials_2_looptype.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
case,0,0,0,1,3.6467876,,,,,,,,,,,,0,0,0,10,,,,,0.0256075,,0.0146324,0.0256075,0.0256075,3.6769494,1,3.6467876,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
pastry,1,1,0,1,4.0614794,,,,,,,,,,,,0,1,1,9,,,,,3.6923221,,3.6827747,3.6923221,3.6923221,7.7600164,1,4.0614794,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
cushion,2,2,0,1,8.1426383,,,,,,,,,,,,0,2,2,1,,,,,7.7755117,,7.7671948,7.7755117,7.7755117,15.9269096,1,8.1426383,15.7752519,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
poster,3,3,0,1,4.9111868,,,,,,,,,,,,0,3,3,14,,,,,15.941625,,15.9322167,15.941625,15.941625,20.8588027,1,4.9111868,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
cruise,4,4,0,2.051851852,4.5148791,,,,,,,,,,,,0,4,4,11,,,,,20.8750392,,20.8616695,20.8750392,20.8750392,25.3923923,2.051851852,4.5148791,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
chart,5,5,0,2.025925926,2.3291861,,,,,,,,,,,,0,5,5,6,,,,,25.4078177,,25.3977397,25.4078177,25.4078177,27.742404,2.025925926,2.3291861,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
mouse,6,6,0,1,1.3296768,,,,,,,,,,,,0,6,6,8,,,,,27.7575643,,27.7466203,27.7575643,27.7575643,29.0924583,1,1.3296768,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
police,7,7,0,1.055555556,1.9632803,,,,,,,,,,,,0,7,7,12,,,,,29.1077828,,29.096931,29.1077828,29.1077828,31.0756043,1.055555556,1.9632803,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
board,8,8,0,1.055555556,1.0104347,,,,,,,,,,,,0,8,8,4,,,,,31.0925538,,31.0822857,31.0925538,31.0925538,32.1089027,1.055555556,1.0104347,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
keys,9,9,0,1.055555556,1.0302561,,,,,,,,,,,,0,9,9,13,,,,,32.1243068,,32.1127651,32.1243068,32.1243068,33.1588483,1.055555556,1.0302561,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
marble,10,10,0,1.951851852,2.7961321,,,,,,,,,,,,0,10,10,3,,,,,33.1741652,,33.1629864,33.1741652,33.1741652,35.9751824,1.951851852,2.7961321,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
phone,11,11,0,1.951851852,2.5134832,,,,,,,,,,,,0,11,11,2,,,,,35.9906563,,35.9794143,35.9906563,35.9906563,38.5083793,1.951851852,2.5134832,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
laptop,12,12,0,1.951851852,1.1800864,,,,,,,,,,,,0,12,12,5,,,,,38.5238771,,38.5129396,38.5238771,38.5238771,39.7081802,1.951851852,1.1800864,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
book,13,13,0,1.951851852,1.2629361,,,,,,,,,,,,0,13,13,0,,,,,39.723544,,39.7125911,39.723544,39.723544,40.9916828,1.951851852,1.2629361,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
t-shirt,14,14,0,1.951851852,0.8108346,,,,,,,,,,,,0,14,14,7,,,,,41.0088015,,40.9990199,41.0088015,41.0088015,41.8250853,1.951851852,0.8108346,,,,,,,,,,,,,,,,,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
,0,0,0,,,t_hi_t,tshirt,old,TSHIRT,[np.float64(0.06574074074074074)],[np.float64(-0.2861111111111111)],[1],[0],[0],[7.3301572000054875],['submit_text'],,,,,0,0,0,2,41.8528985,,,,,,,,,41.8444719,41.8528985,41.8528985,41.8528985,0.0193739,49.1749486,TSHIRT,[np.float64(0.06574074074074074)],[np.float64(-0.2861111111111111)],[1],[0],[0],[7.3301572000054875],['submit_text'],,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
,2,2,0,,,v_s_,vase,new,VASE,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[4.8923728999943705],['submit_text'],,,,,0,2,2,17,58.6057915,,,,,,,,,58.597234,58.6057915,58.6057915,58.6057915,0.0061717,63.490074,VASE,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[4.8923728999943705],['submit_text'],,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
,4,4,0,,,_oo_,book,old,BOOK,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[4.697520899993833],['submit_text'],,,,,0,4,4,13,68.0219731,,,,,,,,,68.0088644,68.0219731,68.0219731,68.0219731,0.0022441,72.7066742,BOOK,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[4.697520899993833],['submit_text'],,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
,6,6,0,,,bo_t_e,bottle,new,BOTTLE,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[3.495041599991964],['submit_text'],,,,,0,6,6,18,79.6215089,,,,,,,,,79.6105076,79.6215089,79.6215089,79.6215089,0.0043088,83.1059704,BOTTLE,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[3.495041599991964],['submit_text'],,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
,8,8,0,,,k_y_,keys,old,KEYS,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[2.861645699988003],['submit_text'],,,,,0,8,8,8,88.6709109,,,,,,,,,88.6598267,88.6709109,88.6709109,88.6709109,0.0037658,91.5218179,KEYS,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[2.861645699988003],['submit_text'],,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
,10,10,0,,,p_st_r,poster,old,POSTER,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[6.311652999997023],['submit_text'],,,,,0,10,10,9,108.0029269,,,,,,,,,107.9918355,108.0029269,108.0029269,108.0029269,0.004111,114.3039114,POSTER,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[6.311652999997023],['submit_text'],,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
,11,11,0,,,c_s_,case,old,CASE,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[2.712304900007439],['submit_text'],,,,,0,11,11,5,114.3193292,,,,,,,,,114.3080541,114.3193292,114.3193292,114.3193292,0.0039481,117.0208254,CASE,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[2.712304900007439],['submit_text'],,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
,13,13,0,,,p_li_e,police,old,POLICE,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[4.195235399994999],['submit_text'],,,,,0,13,13,7,128.6350543,,,,,,,,,128.6240111,128.6350543,128.6350543,128.6350543,0.003694,132.8197292,POLICE,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[4.195235399994999],['submit_text'],,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
,14,14,0,,,_ru_is_,cruise,old,CRUISE,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[9.977113800006919],['submit_text'],,,,,0,14,14,6,132.8345998,,,,,,,,,132.8240251,132.8345998,132.8345998,132.8345998,0.0040307,142.8015817,CRUISE,[np.float64(0.058333333333333334)],[np.float64(-0.3)],[1],[0],[0],[9.977113800006919],['submit_text'],,EXP3,1,2025-10-31_10h57.44.805,Word Priming Experiment,,2025.1.1,60.08752349,2025-10-31 10h57.54.062234 +0530
