14.3479 	INFO 	Loaded monitor calibration from ['2025_08_12 13:20']
14.3636 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
14.8719 	INFO 	Using renderer 'Intel(R) Iris(R) Xe Graphics' for graphics
14.8720 	INFO 	OpenGL version supported by driver is 4..
15.1706 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EC22636140>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EC22637490>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001EC22732CE0>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.1707 	EXP 	window1: backgroundImage = ''
15.1707 	EXP 	window1: backgroundFit = 'none'
15.6577 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.6578 	EXP 	window1: recordFrameIntervals = False
15.8075 	EXP 	window1: recordFrameIntervals = True
15.9909 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
15.9909 	EXP 	window1: recordFrameIntervals = False
16.0489 	INFO 	keyboard.Keyboard is using ptb backend.
16.0492 	INFO 	keyboard.Keyboard is using ptb backend.
16.0492 	EXP 	Exp2_Stroop Effect: status = STARTED
